X,Y,Risk
-33.92,-49.50,0.000000
-33.42,-49.50,0.000000
-32.91,-49.50,0.000000
-32.41,-49.50,0.000000
-31.91,-49.50,0.000000
-31.41,-49.50,0.000000
-30.90,-49.50,0.000000
-30.40,-49.50,0.000000
-29.90,-49.50,0.000000
-29.40,-49.50,0.000000
-28.89,-49.50,0.000000
-28.39,-49.50,0.000000
-27.89,-49.50,0.000000
-27.39,-49.50,0.000000
-26.88,-49.50,0.000000
-26.38,-49.50,0.000000
-25.88,-49.50,0.000000
-25.38,-49.50,0.000000
-24.87,-49.50,0.000000
-24.37,-49.50,0.000000
-23.87,-49.50,0.000000
-23.37,-49.50,0.000000
-22.86,-49.50,0.000000
-22.36,-49.50,0.000000
-21.86,-49.50,0.000000
-21.36,-49.50,0.000000
-20.85,-49.50,0.000000
-20.35,-49.50,0.000000
-19.85,-49.50,0.000000
-19.35,-49.50,0.000000
-18.84,-49.50,0.000000
-18.34,-49.50,0.000000
-17.84,-49.50,0.000000
-17.34,-49.50,0.000000
-16.83,-49.50,0.000000
-16.33,-49.50,0.000000
-15.83,-49.50,0.000000
-15.33,-49.50,0.000000
-14.82,-49.50,0.000000
-14.32,-49.50,0.000000
-13.82,-49.50,0.000000
-13.32,-49.50,0.000000
-12.81,-49.50,0.000000
-12.31,-49.50,0.000000
-11.81,-49.50,0.000000
-11.31,-49.50,0.000000
-10.80,-49.50,0.000000
-10.30,-49.50,0.000000
-9.80,-49.50,0.000000
-9.30,-49.50,0.000000
-8.79,-49.50,0.000000
-8.29,-49.50,0.000000
-7.79,-49.50,0.000000
-7.29,-49.50,0.000000
-6.78,-49.50,0.000000
-6.28,-49.50,0.000000
-5.78,-49.50,0.000000
-5.28,-49.50,0.000000
-4.77,-49.50,0.000000
-4.27,-49.50,0.000000
-3.77,-49.50,0.000000
-3.27,-49.50,0.000000
-2.76,-49.50,0.000000
-2.26,-49.50,0.000000
-1.76,-49.50,0.000000
-1.26,-49.50,0.000000
-0.75,-49.50,0.000000
-0.25,-49.50,0.000000
0.25,-49.50,0.001341
0.75,-49.50,0.004023
1.26,-49.50,0.006704
1.76,-49.50,0.009383
2.26,-49.50,0.012059
2.76,-49.50,0.014732
3.27,-49.50,0.017399
3.77,-49.50,0.020062
4.27,-49.50,0.022718
4.77,-49.50,0.025367
5.28,-49.50,0.028009
5.78,-49.50,0.030642
6.28,-49.50,0.033266
6.78,-49.50,0.035880
7.29,-49.50,0.038483
7.79,-49.50,0.041075
8.29,-49.50,0.043655
8.79,-49.50,0.046222
9.30,-49.50,0.048776
9.80,-49.50,0.051315
10.30,-49.50,0.053840
10.80,-49.50,0.056350
11.31,-49.50,0.058844
11.81,-49.50,0.061321
12.31,-49.50,0.063781
12.81,-49.50,0.066224
13.32,-49.50,0.068649
13.82,-49.50,0.071055
14.32,-49.50,0.073443
14.82,-49.50,0.075811
15.33,-49.50,0.078159
15.83,-49.50,0.080487
16.33,-49.50,0.082795
16.83,-49.50,0.085082
17.34,-49.50,0.087348
17.84,-49.50,0.089592
18.34,-49.50,0.091815
18.84,-49.50,0.094016
19.35,-49.50,0.096194
19.85,-49.50,0.098351
20.35,-49.50,0.100484
20.85,-49.50,0.102595
21.36,-49.50,0.104683
21.86,-49.50,0.106748
22.36,-49.50,0.108790
22.86,-49.50,0.110809
23.37,-49.50,0.112804
23.87,-49.50,0.114776
24.37,-49.50,0.116725
24.87,-49.50,0.118650
25.38,-49.50,0.120552
25.88,-49.50,0.122431
26.38,-49.50,0.124286
26.88,-49.50,0.126118
27.39,-49.50,0.127927
27.89,-49.50,0.129713
28.39,-49.50,0.131475
28.89,-49.50,0.133214
29.40,-49.50,0.134931
29.90,-49.50,0.136625
30.40,-49.50,0.138296
30.90,-49.50,0.139944
31.41,-49.50,0.141570
31.91,-49.50,0.143174
32.41,-49.50,0.144756
32.91,-49.50,0.146316
33.42,-49.50,0.147854
33.92,-49.50,0.149370
34.42,-49.50,0.150865
34.92,-49.50,0.152339
35.43,-49.50,0.153792
35.93,-49.50,0.155224
36.43,-49.50,0.156636
36.93,-49.50,0.158027
37.44,-49.50,0.159398
37.94,-49.50,0.160749
38.44,-49.50,0.162080
38.94,-49.50,0.163392
39.45,-49.50,0.164685
39.95,-49.50,0.165958
40.45,-49.50,0.167213
40.95,-49.50,0.168449
41.46,-49.50,0.169667
41.96,-49.50,0.170867
42.46,-49.50,0.172048
42.96,-49.50,0.173212
43.47,-49.50,0.174359
43.97,-49.50,0.175489
44.47,-49.50,0.176601
44.97,-49.50,0.177697
45.48,-49.50,0.178776
